Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
love long sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,564,"$14,043.55",
align classic,N,sku_colorCodeDesc/collections,,361,"$3,132.95",
shorts 3,Y,sku_colorCodeDesc/product_inseam/product_customAttribute4/parentCategory_displayName,PatternReplaceFilter,295,$990.00,"short 3"""
lulu tank,N,sku_colorCodeDesc/parentCategory_displayName,,335,$509.00,lulu tank tops
long line energy bra,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,310,"$3,450.30",
sonic pink swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,341,$552.30,lip gloss swiftly tech
rulu joggers,N,sku_colorCodeDesc/collections/parentCategory_displayName,,248,"$3,709.85",
hotty hot we made to much,N,sku_colorCodeDesc/collections/parentCategory_displayName,,19,$0.00,
pink punch,N,sku_colorGroup/sku_colorCodeDesc,,329,"$1,314.05",
run tank,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,203,"$1,101.70",
hotty hot shirt,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,567,"$2,875.45",hotty hot shirts
long line sports bra,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,325,"$2,480.90",long line sport bra/long line sports bras
lululemon everywhere belt bag,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,334,"$3,890.10",
cargo pocket,N,sku_colorCodeDesc/product_customAttribute4,,381,"$3,967.35",
workout shirt,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,346,"$2,451.10",
define shirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,320,$390.00,
golf shirt women,Y,parentCategory_displayName/gender/product_customAttribute4/product_activity,EnglishMinimalStemFilter,241,"$2,810.00",
women cropped pants,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName/gender,,200,"$1,771.95",
align zip up,N,collections/product_customAttribute4,,339,"$1,783.90",
sweat pants women,N,gender/collections/product_customAttribute4/parentCategory_displayName,,346,"$3,578.65",
tie dye shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,240,$362.80,
lined shorts men,N,sku_colorCodeDesc/gender/product_customAttribute4/parentCategory_displayName,,287,"$4,107.70",lined short men
wunder under 25,Y,collections/sku_size/product_inseam,PatternReplaceFilter,292,"$2,100.30",
long sleeve shirt women,Y,product_topsLength_s/gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,321,"$3,236.50",
polo shirt women,Y,gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,212,"$2,445.55",
fast and free 28,N,sku_size/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,366,"$7,770.80","fast and free 28"""
surge warm half zip,N,sku_colorCodeDesc/collections/product_customAttribute4,,400,"$7,749.90",
tech short sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,257,"$1,502.85",
lulu define,N,sku_colorCodeDesc/collections,,384,"$3,790.30",
invigorate train tank,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,291,$538.00,invigorate training tank
light blue belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,271,"$1,373.80",
align leg,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,388,"$3,802.00",
metal vent shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,279,"$3,719.40",
men hats,N,parentCategory_displayName/product_customAttribute4/gender,,213,"$1,346.75",
hotty short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,365,"$4,869.65",
at ease short 7,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,495,"$7,392.10","at ease short 7"""
lulu lemon align,N,sku_colorCodeDesc/collections,,302,"$4,810.65",
tank built in bra,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,215,"$1,515.40",tank tops built in bra
pink swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,281,"$1,636.00",
we made too much women shirts,N,gender/parentCategory_displayName,,9,$0.00,
red le,N,sku_colorGroup/sku_colorCodeDesc,,263,$482.00,
lululemon align pant,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,337,"$2,661.80",lululemon align pants
free to b,N,collections/sku_size,,321,"$1,712.55",
ebb to s,N,collections/sku_size,,316,"$1,854.40",
lulu shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,394,"$1,011.00",lulu shirts
swiftly tech skirt,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,338,"$4,481.85",
utility blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,198,"$1,774.85",
marble leggings,N,sku_colorCodeDesc/parentCategory_displayName,,424,"$1,481.00",marble leg
flush pink define jacket,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,220,$590.00,
lululemon hotty hot,N,sku_colorCodeDesc/collections/parentCategory_displayName,,281,$389.00,
hiking tight,Y,collections/parentCategory_displayName/product_activity,EnglishMinimalStemFilter,264,"$1,806.25",
steady state short,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,899,"$24,367.75",
soft knit,N,sku_colorCodeDesc/collections,,699,"$20,791.40",
logo leggings,N,sku_colorCodeDesc/parentCategory_displayName,,204,$599.15,
flush pink leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,235,"$1,583.80",
tie dye shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,215,$777.40,diamond dye short
twill utility jacket,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,318,"$7,554.20",
black camo align leggings,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,192,"$1,256.80",
black tie dye leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,188,$691.30,
wunder 28,Y,collections/sku_size/product_inseam,PatternReplaceFilter,298,"$4,333.20",
pastel blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,137,$373.00,
fundamental tank,N,collections/parentCategory_displayName,,311,"$3,452.25",
instill 25,Y,collections/sku_size/product_inseam,PatternReplaceFilter,274,"$1,878.95",
jogger crop,N,product_topsLength_s/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,258,"$3,036.65",joggers cropped
swift speed tight,Y,collections/parentCategory_displayName,EnglishMinimalStemFilter,251,"$2,634.60",
black and grey leggings,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,180,$0.00,
scuba pullover,N,collections/product_customAttribute4,,312,"$4,744.75",
board short,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,254,"$3,414.75",
shorts pocket,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,343,"$2,730.00",short pocket
hotty high,N,collections/product_customAttribute4,,316,"$4,009.40",
"short 4""",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,291,"$1,129.00",
fast and free shorts women,N,gender/collections/product_customAttribute4/parentCategory_displayName,,279,"$1,677.05",fast and free short women
men shorts 5,Y,product_inseam/product_customAttribute4/gender/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,176,$663.00,
we made too much align pant,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,9,$0.00,
license to train classic tank top,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,19,$0.00,
pace breaker lined short 7,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,783,"$22,179.60",pace breaker lined short 7
shirt dress,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/EnglishMinimalStemFilter/PorterStemFilter,208,"$1,139.40",
run short,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,207,"$1,041.60",
leggings 31,Y,product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,184,"$1,594.50",
dark blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,241,$216.00,
shorts size 2,N,sku_size/product_inseam/product_customAttribute4/parentCategory_displayName,PatternReplaceFilter,162,$973.00,
tank top built in bra,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,213,$912.00,
metal vent long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,335,"$4,677.60",
bowline 5,Y,sku_size/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,251,"$2,328.90",
defin jacket,Y,collections/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,297,"$1,961.10",
tight shorts,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,217,$481.30,
long sleeve tops,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,,341,"$3,895.80",
wunder under contour,N,sku_colorCodeDesc/collections,,265,"$3,422.45",
warm leggings,N,sku_colorCodeDesc/parentCategory_displayName,,523,"$13,944.90",warm tights
logo sport,N,sku_colorCodeDesc/parentCategory_displayName,EnglishMinimalStemFilter,330,"$6,062.25",
swiftly tech short sleeve 20,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter,373,"$7,083.60",
neon orange,N,sku_colorGroup/sku_colorCodeDesc,,235,$132.50,
lululemon water,N,sku_colorCodeDesc/collections/parentCategory_displayName,,308,$372.00,
cheetah print leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,PorterStemFilter,224,$401.00,
women tank we made too much,N,parentCategory_displayName/gender,,6,$0.00,
black leggings 25,Y,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,153,"$2,087.15",
dress shirt,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/EnglishMinimalStemFilter/PorterStemFilter,287,"$2,799.30",dress shirts
women golf shirt,Y,product_customAttribute4/product_activity/parentCategory_displayName/gender,EnglishMinimalStemFilter,165,"$1,822.75",
high energy bra,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,268,"$3,982.40",
align we made too much,N,collections/parentCategory_displayName,,133,$933.20,
fast and free 19,N,collections/product_customAttribute4/product_inseam,PatternReplaceFilter,324,"$4,451.30","fast and free 19"""
orange pants,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,214,"$1,231.25",
wunder pocket,N,sku_colorCodeDesc/collections/product_customAttribute4,,254,"$2,967.45",
luxtreme pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,257,"$4,091.50",
abc jogger short,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,331,"$14,084.80",
long sleeve dress,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,287,"$6,764.60",long sleeve dresses
swiftly tech polo,N,collections/parentCategory_displayName,,268,"$3,291.35",
fast a,N,collections/sku_size,,238,$892.60,
sonic pink define,N,sku_colorGroup/sku_colorCodeDesc/collections,,359,"$2,175.05",lip gloss define
tidal teal leggings,N,sku_colorCodeDesc/parentCategory_displayName,,124,$366.65,
scuba oversized full,N,collections/sku_size,,536,"$20,169.05",
speed up short 4,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,228,"$1,807.65","speed up short 4"""
utility blue sports bra,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,187,$491.00,
cyan blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,201,"$1,000.25",
brown shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,318,"$2,316.00",
speed up tight,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,199,"$1,005.00",
tight shorts women,N,gender/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,132,$256.00,
running tight,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,EnglishMinimalStemFilter,235,"$3,574.00",run tight
energy tank top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,219,"$1,310.65",
women long sleeve shirt,Y,product_topsLength_s/product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter,222,"$2,715.00",
men shoes,N,product_customAttribute4/parentCategory_displayName/gender,,382,"$6,998.40",
lululemon swiftly tech,N,sku_colorCodeDesc/collections/parentCategory_displayName,,215,"$1,464.30",
"short 6""",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,193,$752.40,
we made to much align leggings,N,collections/parentCategory_displayName,,9,$0.00,
we made too much lip gloss,N,sku_colorCodeDesc/parentCategory_displayName,,12,$0.00,
align zip,N,collections/product_customAttribute4,,317,"$3,133.50",
oversized half zip,N,collections/product_customAttribute4,,356,"$7,984.40",
we made too much skirts,N,product_customAttribute4/parentCategory_displayName,,176,$624.15,
wunder train java,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,151,"$1,084.00",
wunder under 28,Y,collections/sku_size/product_inseam,PatternReplaceFilter,208,"$1,701.50",
dance studio lined,N,sku_colorCodeDesc/collections/product_activity,,239,"$2,764.30",
powder blue tank,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,152,"$1,156.00",
women we made too much tank tops,N,product_customAttribute4/parentCategory_displayName/gender,,12,$0.00,
license to train tight,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,329,"$6,629.20",
surge tight,Y,collections/parentCategory_displayName,EnglishMinimalStemFilter,222,"$3,743.35",
swift short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,175,"$1,574.00",
long sleeve swift,N,product_topsLength_s/collections/parentCategory_displayName,,254,"$1,739.45",
court dress,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,238,"$1,990.75",
city sweat full zip,N,sku_size/collections/product_customAttribute4,,246,"$4,531.75",
fast and free short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,211,"$3,260.05",
hold tight long sleeve shirt,Y,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,504,"$13,546.70",
fundamental long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,398,"$7,228.15",
ready to rulu joggers,N,sku_colorCodeDesc/collections/parentCategory_displayName,,190,"$1,065.65",
we made to much women,N,gender/collections/parentCategory_displayName,,109,$88.00,
ready to rulu pullover,N,sku_colorCodeDesc/collections/product_customAttribute4,,890,"$12,384.60",ready to rulu pullover/rulu pullover
ultra high,N,sku_colorCodeDesc/product_customAttribute4,,308,"$4,648.20",
lululemon slides,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,262,"$2,686.35",
swiftly tech grey,N,sku_colorGroup/sku_colorCodeDesc/collections,,227,$710.00,
red glow,N,sku_colorGroup/sku_colorCodeDesc,,180,$613.00,
align sweet,N,sku_colorCodeDesc/collections,,294,"$3,269.60",
belt bag gold,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,242,"$1,949.80",
the workout mat,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,EnglishMinimalStemFilter,225,"$3,631.60",
hot pink sports bra,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,134,$859.80,
tie dye pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,176,$521.00,diamond dye pants
lululemon align bodysuit 25,N,product_inseam/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,186,"$1,479.00",
mango dream align,N,sku_colorCodeDesc/collections,,125,$927.95,
align tank too,N,collections/parentCategory_displayName,,181,$643.15,
men under,N,collections/gender,,260,"$2,173.20",
heather lux multi black,N,sku_colorGroup/sku_colorCodeDesc,PorterStemFilter,148,$174.15,
kelly green scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,187,"$1,000.65",
shorts we made too much,N,product_customAttribute4/parentCategory_displayName,,106,$176.00,
hotty hot camo,N,sku_colorCodeDesc/collections,,206,$0.00,
metal vent tech long sleeve,N,product_topsLength_s/collections/parentCategory_displayName,,405,"$10,465.20",
fundamental shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,255,"$3,707.60",5 year shirt/5 year basic shirt
license to train 5,Y,product_inseam/product_customAttribute4/product_activity/collections/sku_size,PorterStemFilter/PatternReplaceFilter,215,"$2,030.20",
light pink scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,274,"$1,963.70",
lavender belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,223,"$1,218.80",
one piece swimsuit,Y,parentCategory_displayName/sku_size/product_customAttribute4,EnglishMinimalStemFilter,131,$902.00,
swift speed 25,N,collections/sku_size/product_inseam,PatternReplaceFilter,183,"$1,488.80",
tie dye belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,170,$608.00,
align 6 in,N,collections/sku_size/product_inseam,PatternReplaceFilter,158,$987.60,
pink le,N,sku_colorGroup/sku_colorCodeDesc,,206,$314.00,
fast and free lined,N,sku_colorCodeDesc/collections/product_customAttribute4,,239,"$4,127.20",
kelly green shirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,203,"$1,223.40",kelly green shirts
align one,N,collections/sku_size/product_customAttribute4,,214,"$1,826.40",
swift long,N,product_topsLength_s/collections/parentCategory_displayName,,176,"$1,648.75",
pace long,N,product_topsLength_s/sku_colorCodeDesc/collections/parentCategory_displayName,,152,"$1,358.55",
high energy,N,collections/product_customAttribute4,,249,"$2,997.75",
swiftly tech short sleeve we made too much,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,7,$0.00,
pastel blue belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,146,$352.00,
we made too much tops,N,product_customAttribute4/parentCategory_displayName,,140,$479.00,
women sweat pants,N,product_customAttribute4/collections/parentCategory_displayName/gender,,196,"$1,988.00",
tight leggings,Y,collections/parentCategory_displayName,EnglishMinimalStemFilter,146,$933.00,
we made too much camo leggings,N,sku_colorCodeDesc/parentCategory_displayName,,10,$0.00,
black and gold belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,280,"$2,708.60",
energy high,N,collections/product_customAttribute4,,215,"$2,091.55",
camo black leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,134,$599.00,
run swiftly tank,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,155,"$1,336.50",
lined leggings,N,sku_colorCodeDesc/parentCategory_displayName,,330,"$9,762.80",
align crop 17 black size 12,N,product_inseam/sku_colorCodeDesc/collections/product_topsLength_s/sku_colorGroup/sku_size,PorterStemFilter/PatternReplaceFilter,5,$0.00,
pitch blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,251,"$3,118.00",
women dress pants,N,product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter/PorterStemFilter,202,"$2,125.60",women dress pant
lavender leggings,N,sku_colorCodeDesc/parentCategory_displayName,,175,"$1,561.90",lavender tights
poolside shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,181,$219.00,poolside shirts
belt bag 2,N,sku_size/product_inseam/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PatternReplaceFilter,246,"$2,033.00",
ready to lulu,N,sku_colorCodeDesc/collections,,145,$583.40,
"short 8""",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,140,$945.85,
light purple,N,sku_colorGroup/sku_colorCodeDesc,,197,$243.00,
medium forest leggings,N,sku_colorCodeDesc/parentCategory_displayName,,179,"$1,487.30",medium forest tights
pistachio shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,191,"$1,548.10",pistachio short
speed up short 2.5,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter/PatternReplaceFilter,177,"$1,149.00","speed up short 2.5"""
white sport bra,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,164,"$1,191.80",white sport bras
pace b,N,sku_colorCodeDesc/collections/sku_size,,227,"$2,941.00",
short sleeve we made too much,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,10,$0.00,
energy bra medium,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,323,"$7,340.45",
slate white,N,sku_colorGroup/sku_colorCodeDesc,,178,"$1,724.30",
oversized full zip scuba,N,collections/sku_size/product_customAttribute4,,209,"$2,888.80",
pink peony define,N,sku_colorGroup/sku_colorCodeDesc/collections,,158,$89.00,
sports bra tank,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,167,$951.40,sport bra tank
3 in shorts,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName,PatternReplaceFilter,177,$808.60,3 in short
abc trouser classic,N,sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,388,"$24,295.20",
built in bra tank top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,136,$593.00,
crop vest,Y,product_topsLength_s/product_customAttribute4,PorterStemFilter/EnglishMinimalStemFilter,497,"$16,561.45",
dress pants women,N,gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,192,"$1,852.80",dress pant women
flush pink scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,177,$354.00,
pitch blue align,N,sku_colorGroup/sku_colorCodeDesc/collections,,192,"$1,981.30",
run and train,N,collections/product_customAttribute4/product_activity,PorterStemFilter,299,"$1,370.30",running and training
"commission short classic 7""",N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,151,"$3,362.05",
hair bands,N,product_customAttribute4/parentCategory_displayName,,179,"$1,163.80",
java short,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,143,$876.00,
neon shirt,N,sku_colorGroup/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,218,"$1,389.00",neon shirts
kelly green tops,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,107,$611.00,
training shirt,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,270,"$2,176.60",train shirt
bright blue,N,sku_colorGroup/sku_colorCodeDesc,,176,$426.50,
button down shirt,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,340,"$4,464.75",button up shirt/button up shirts
utility blue align,N,sku_colorGroup/sku_colorCodeDesc/collections,,143,$990.80,
align poolside,N,sku_colorCodeDesc/collections,,128,$283.50,
warm down jogger,N,sku_colorCodeDesc/parentCategory_displayName,EnglishMinimalStemFilter,274,"$3,483.25",warm down joggers
wunder train leggings 25,Y,product_inseam/product_customAttribute4/product_activity/collections/parentCategory_displayName/sku_size,PorterStemFilter/PatternReplaceFilter,141,"$1,169.00",
dark forest scuba,N,sku_colorCodeDesc/collections,,239,"$4,440.20",
surge lined short,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,436,"$8,568.55",surge lined shorts
beige belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,189,"$1,192.30",
"commission short classic 9""",N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,124,"$3,610.00",
long sports bra,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,190,$703.50,long sports bras/long sport bra/long sport bras
lulu align bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,162,"$1,024.15",
marble dye sonic pink,N,sku_colorGroup/sku_colorCodeDesc,,157,$599.00,
oversized men,N,collections/gender,,181,"$3,037.80",
camo leg,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,158,$0.00,
surge half tight,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,144,"$1,525.30",
men tight,Y,collections/parentCategory_displayName/gender,EnglishMinimalStemFilter,132,"$1,168.30",
commission 7,Y,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,155,"$2,198.80",
long sleeve swim,N,product_topsLength_s/product_activity/parentCategory_displayName,,211,$770.15,long sleeve swimsuit
logo tank,N,sku_colorCodeDesc/parentCategory_displayName,,143,$719.70,
define jacket flush pink,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,142,$590.00,
fast and free 3,N,sku_colorCodeDesc/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,244,"$1,317.75","fast and free 3"""
lulu lemon leggings,N,sku_colorCodeDesc/parentCategory_displayName,,144,$578.00,
lululemon align long sleeve,N,product_topsLength_s/sku_colorCodeDesc/collections/parentCategory_displayName,,180,$797.30,
dark lavender leggings,N,sku_colorCodeDesc/parentCategory_displayName,,171,"$1,762.15",
align long tank,N,product_topsLength_s/collections/parentCategory_displayName,,162,$961.40,
golf shirt men,Y,parentCategory_displayName/gender/product_customAttribute4/product_activity,EnglishMinimalStemFilter,129,"$2,456.85",
long sleeve tech,N,product_topsLength_s/collections/parentCategory_displayName,,219,"$1,999.40",
align tank poolside,N,sku_colorCodeDesc/collections/parentCategory_displayName,,150,$216.00,
