Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
license to train shirt,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,8271,"$195,323.90",
lululemon align bodysuit,N,sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,3358,"$28,153.45",
mini backpacks,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4,,3815,"$10,269.95",
grey shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,4675,"$12,894.70",
"align short 6""",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,3033,"$17,359.40",
white shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,4479,"$31,291.00",
align pocket,N,sku_colorCodeDesc/collections/product_customAttribute4,,4253,"$78,633.00",
swiftly tech short,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,5129,"$94,941.37",
black shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,3983,"$18,568.90",
speed up 25,N,sku_size/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,5565,"$65,407.65",
hotty hot high,N,sku_colorCodeDesc/collections/product_customAttribute4,,4065,"$41,020.57",
train to be short sleeve,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,2882,"$42,623.08",train to be short sleev
scuba oversized full zip,N,collections/sku_size/product_customAttribute4,,9011,"$324,923.60",scuba crop full zip
25 speed up,N,collections/product_inseam/sku_size/product_customAttribute4,PatternReplaceFilter,3738,"$28,393.50",
cropped pants,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,,3736,"$47,614.45",crop pant
pace breaker short 5,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,4282,"$75,367.15","pace breaker short 5"""
