Matched Shingle,Entities,Shingle Type,Entity Type,Search Query,Visits,Revenue,Overlap,Entity Overlaps,Entity Type Overlaps
hot,Hot Heat|Hotty Hot,partial,partial,shorts hotty hot,50362,"$248,956.35",yes,2,1
bag,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,bag belt,57841,"$318,046.65",yes,5,2
belt,Belt Bags,partial,partial,bag belt,57841,"$318,046.65",no,1,1
short,Short Sleeve Shirts|Short Serve Stripe Heathered Medium Grey Black|Short Serve Stripe White Black|Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,full|partial,women's short,44354,"$235,963.60",yes,11,2
crossbody,Crossbody Bags,partial,partial,crossbody bag,44113,"$277,192.70",no,1,1
bag,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,crossbody bag,44113,"$277,192.70",yes,5,2
align,align,full,full,align short,55078,"$427,484.11",no,1,1
short,Short Sleeve Shirts|Short Serve Stripe Heathered Medium Grey Black|Short Serve Stripe White Black|Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,full|partial,align short,55078,"$427,484.11",yes,11,2
yoga,Yoga Bags|Yoga Accessories|Yoga Mats,partial,full|partial,yoga mat,51681,"$752,329.75",yes,4,2
mat,Mat Straps|Yoga Mats,partial,partial,yoga mat,51681,"$752,329.75",yes,2,1
crossbody,Crossbody Bags,partial,partial,crossbody,58229,"$560,166.53",no,1,1
speed,Speed Up|Swift Speed,partial,partial,speed ups,48856,"$109,828.05",yes,2,1
ebb,Ebb to Street,partial,partial,ebb to street tank,57290,"$437,690.85",no,1,1
ebb to,Ebb to Street,partial,partial,ebb to street tank,57290,"$437,690.85",no,1,1
ebb to street,ebb to street,full,full,ebb to street tank,57290,"$437,690.85",no,1,1
to,License To Train|Built To Move|Ebb to Street|Free to Be|Ready to Rulu,partial,partial,ebb to street tank,57290,"$437,690.85",yes,5,1
to street,Ebb to Street,partial,partial,ebb to street tank,57290,"$437,690.85",no,1,1
street,Ebb to Street,partial,partial,ebb to street tank,57290,"$437,690.85",no,1,1
tank,Tank Tops,partial,partial,ebb to street tank,57290,"$437,690.85",no,1,1
poolside,Heathered Poolside,partial,full|partial,poolside,34923,"$108,486.35",yes,2,2
scuba,scuba,full,full,scuba hoodie,86244,"$1,534,340.17",no,1,1
shoes,Cross Training Shoes|Trail Running Shoes,partial,full|partial,shoes,54503,"$447,393.44",yes,3,2
align,align,full,full,align dress,56863,"$439,280.73",no,1,1
dress,Dress Pants|Bodycon Dresses|Shirt Dresses,partial,partial|full,align dress,56863,"$439,280.73",yes,4,2
lululemon,lululemon Lab|lululemon membership|Lululemon Ombre Red Multi,partial,partial,lululemon align leggings,82952,"$1,796,477.65",yes,3,1
align,align,full,full,lululemon align leggings,82952,"$1,796,477.65",no,1,1
leggings,leggings,full,full,lululemon align leggings,82952,"$1,796,477.65",no,1,1
tennis,tennis,full,full,tennis,39094,"$291,794.89",no,1,1
align,align,full,full,align bra,47408,"$244,170.82",no,1,1
bra,Sports Bras|Racerback Bras,partial,partial,align bra,47408,"$244,170.82",yes,2,1
jogger,jogger,full,full,jogger,46262,"$513,486.39",no,1,1
in,Always In Motion|Zeroed In|In Movement,partial,partial,back in action,41323,"$383,428.51",yes,3,1
all,All Yours,partial,partial,all yours,48091,"$297,365.13",no,1,1
all yours,all yours,full,full,all yours,48091,"$297,365.13",no,1,1
yours,All Yours,partial,partial,all yours,48091,"$297,365.13",no,1,1
skort,skort,full,full,skort,34086,"$164,892.60",no,1,1
bras,Sports Bras|Racerback Bras,partial,partial,bras,41098,"$268,973.70",yes,2,1
tops,Tank Tops|Swimsuit Tops,partial,partial,tops,42753,"$147,392.63",yes,2,1
pink,Sonic Pink|Flush Pink|Meadowsweet Pink|Pink Peony|Glaze Pink|Heathered Glaze Pink|Pink Pastel|Pink Clay|Pink Mist|Dew Pink|Flower Glide Max Pink Multi|Pow Pink|Sakura Pink|Azalea Pink|Vintage Pink|Ombre Glide Washed Mauve Sakura Pink Peach Bellini|NOUVEAU MARBLE Meadow Sweet Pink Multi|Pink Lychee|Pink Puff|Highlight Pink|butter pink|Heathered Meadowsweet Pink|Incognito Camo Pink Taupe Multi|Inline Stripe White Heathered Pink Peony|Gossamer Floral Vita Pink Multi|Pink Glow|pink sorbet,partial,partial|full,pink,50951,"$230,496.45",yes,28,2
align,align,full,full,align top,46025,"$190,555.25",no,1,1
top,Tank Tops|Swimsuit Tops,partial,partial,align top,46025,"$190,555.25",yes,2,1
shorts,Chino Shorts|Athletic Shorts|Sweat Shorts|Board Shorts|Boy Shorts|Cargo Shorts,partial,partial|full,men's shorts,37784,"$234,366.58",yes,7,2
kelly,BLOSSOM SILHOUETTE MAX Lilac Smoke Kelly Green,partial,partial,kelly green,32558,"$176,624.45",no,1,1
kelly green,BLOSSOM SILHOUETTE MAX Lilac Smoke Kelly Green,partial,partial,kelly green,32558,"$176,624.45",no,1,1
green,Kohlrabi Green|Green Jasper|Maldives Green|Army Green|Bronze Green|Cascadia Green|Laurel Green|Everglade Green|Paradise Green|Paint Drift Kohlrabi Green Multi|Heathered Cascadia Green|Green Punch|scream green|Legacy Green|BLOSSOM SILHOUETTE MAX Lilac Smoke Kelly Green|Heathered Paradise Green|Ether Green|Green Twill|Thermal Green|Spark Green|Rainforest Green|Military Green|True Stripe Burnside Green White|Heathered Rosemary Green|Jumie Stripe Elixir Edamame Green|Tri Colour Rulu Green Jasper Oceanic|Deep Green|Incognito Camo Multi Gator Green|Heathered Kohlrabi Green|Ice Green|Marmoleado Tie Dye White Opal Rosemary Green|Gully Green|Heathered Green Jasper|Viridian Green|pop cut fatigue green black|Burnside Green|Heritage 365 Camo Green Twill Multi,partial,full|partial,kelly green,32558,"$176,624.45",yes,38,2
everywhere,everywhere,full,full,everywhere crossbody bag,39908,"$247,984.25",no,1,1
crossbody,Crossbody Bags,partial,partial,everywhere crossbody bag,39908,"$247,984.25",no,1,1
bag,Duffle Bags|Yoga Bags|Crossbody Bags|Belt Bags,partial,full|partial,everywhere crossbody bag,39908,"$247,984.25",yes,5,2
swiftly,swiftly,full,full,swiftly shirt,53547,"$469,522.85",no,1,1
