Left Term,Match Type,Entity,Original Line,Rewritten Line
crossover legging,,,"crossover legging => twist waist, aligned angles super high rise, cross waist, wrap waist, ruched waist","crossover legging => crossover legging, twist waist, aligned angles super high rise, cross waist, wrap waist, ruched waist"
crossed leggings,,,"crossed leggings => twist waist, aligned angles super high rise, cross waist, wrap waist, wrap waist, ruched waist","crossed leggings => crossed leggings, twist waist, aligned angles super high rise, cross waist, wrap waist, wrap waist, ruched waist"
cross over legging,,,"cross over legging => twist waist, aligned angles super high rise, cross waist, wrap waist, wrap waist, ruched waist","cross over legging => cross over legging, twist waist, aligned angles super high rise, cross waist, wrap waist, wrap waist, ruched waist"
criss cross,,,"criss cross => twist waist, aligned angles super high rise, cross waist, wrap waist, ruched waist","criss cross => criss cross, twist waist, aligned angles super high rise, cross waist, wrap waist, ruched waist"
criss cross leggings,,,"criss cross leggings => twist waist, aligned angles super high rise, cross waist, wrap waist, wrap waist, ruched waist","criss cross leggings => criss cross leggings, twist waist, aligned angles super high rise, cross waist, wrap waist, wrap waist, ruched waist"
cross legging,,,"cross legging => twist waist, aligned angles super high rise, cross waist, wrap waist, ruched waist","cross legging => cross legging, twist waist, aligned angles super high rise, cross waist, wrap waist, ruched waist"
shine,,,"shine => shine, matte copper foil, matte black foil","shine => shine, shine, matte copper foil, matte black foil"
foil,,,"foil => shine, foil","foil => foil, shine, foil"
metallic,,,"metallic => shine, matte copper foil, matte black foil","metallic => metallic, shine, matte copper foil, matte black foil"
cross waist,,,"cross waist => twist waist, aligned angles super high rise, cross waist","cross waist => cross waist, twist waist, aligned angles super high rise, cross waist"
ready to fleece,,,"ready to fleece => ready jogger, fleece jogger","ready to fleece => ready to fleece, ready jogger, fleece jogger"
velvet jogger,,,"velvet jogger => crush jogger, velvet pant","velvet jogger => velvet jogger, crush jogger, velvet pant"
royal blue,,,"royal blue => royal blue, regatta blue, cerulean blue, symphony blue, larkspur, blue nile","royal blue => royal blue, royal blue, regatta blue, cerulean blue, symphony blue, larkspur, blue nile"
velvet joggers,,,"velvet joggers => crush jogger, velvet pant","velvet joggers => velvet joggers, crush jogger, velvet pant"
funnel neck,,,"funnel neck => funnel, turtleneck","funnel neck => funnel neck, funnel, turtleneck"
funnel,,,"funnel => funnel, turtleneck","funnel => funnel, funnel, turtleneck"
toiletry,,,"toiletry => selfcare, pouch","toiletry => toiletry, selfcare, pouch"
mens sweater,,,mens sweater => mens sweatshirt,"mens sweater => mens sweater, mens sweatshirt"
mens sweaters,,,mens sweaters => mens sweatshirts,"mens sweaters => mens sweaters, mens sweatshirts"
colored leggings,,,"colored leggings => neon leggings, blue leggings, burgundy leggings, green leggings, multi leggings, orange leggings, pink leggings, purple leggings, red leggings, tie dye leggings","colored leggings => colored leggings, neon leggings, blue leggings, burgundy leggings, green leggings, multi leggings, orange leggings, pink leggings, purple leggings, red leggings, tie dye leggings"
card holder,,,"card holder => card holder, take it on crossbody pouch, true identity card case, logo pouch","card holder => card holder, card holder, take it on crossbody pouch, true identity card case, logo pouch"
track suit,,,"track suit => dance studio, track pants, track suit","track suit => track suit, dance studio, track pants, track suit"
speed wunder,,,"speed wunder => speed wunder, wunder under, speed up tight","speed wunder => speed wunder, speed wunder, wunder under, speed up tight"
fingerless gloves,,,"fingerless gloves => chevron knit mitten, training gloves, push the limit training gloves, train boxing wraps, armwarmers","fingerless gloves => fingerless gloves, chevron knit mitten, training gloves, push the limit training gloves, train boxing wraps, armwarmers"
