Left Term,Match Type,Entity,Original Line,Rewritten Line
wrist pouch,,,"wrist pouch => dual pouch wristlet, now and always pouch, small things count kit, curved wristlet","wrist pouch => wrist pouch, dual pouch wristlet, now and always pouch, small things count kit, curved wristlet"
keypouch,,,"keypouch => logo pouch, nano backpack, dual pouch wristlet","keypouch => keypouch, logo pouch, nano backpack, dual pouch wristlet"
keychain pouch,,,"keychain pouch => logo pouch, nano backpack, dual pouch wristlet","keychain pouch => keychain pouch, logo pouch, nano backpack, dual pouch wristlet"
wallet keychain,,,"wallet keychain => dual pouch wristlet, logo pouch, nano backpack, small things count kit, curved wristlet","wallet keychain => wallet keychain, dual pouch wristlet, logo pouch, nano backpack, small things count kit, curved wristlet"
train to be tee,,,train to be tee => train to be short sleeve,"train to be tee => train to be tee, train to be short sleeve"
dual wristlet,,,"dual wristlet => dual pouch wristlet, now and always pouch, small things count kit, curved wristlet","dual wristlet => dual wristlet, dual pouch wristlet, now and always pouch, small things count kit, curved wristlet"
dual wrist pouch,,,"dual wrist pouch => dual pouch wristlet, now and always pouch, small things count kit, curved wristlet","dual wrist pouch => dual wrist pouch, dual pouch wristlet, now and always pouch, small things count kit, curved wristlet"
overall,,,"overall => zippered jumpsuit, pocketed romper","overall => overall, zippered jumpsuit, pocketed romper"
overalls,,,"overalls => zippered jumpsuit, pocketed romper","overalls => overalls, zippered jumpsuit, pocketed romper"
radiant,,,"radiant => define jacket, scuba full zip hoodie","radiant => radiant, define jacket, scuba full zip hoodie"
dual pouch,,,"dual pouch => dual pouch wristlet, now and always pouch, small things count kit, curved wristlet","dual pouch => dual pouch, dual pouch wristlet, now and always pouch, small things count kit, curved wristlet"
rainbow sock,,,"rainbow sock => sock rainbow, prod9750654, prod10900019","rainbow sock => rainbow sock, sock rainbow, prod9750654, prod10900019"
all yours,,,"all yours => loungeful, all yours","all yours => all yours, loungeful, all yours"
butterfly shorts,,,"butterfly shorts => track that short, inner glow short, evergreen short, find your pace short, nulu and mesh shorts","butterfly shorts => butterfly shorts, track that short, inner glow short, evergreen short, find your pace short, nulu and mesh shorts"
ruffle,,,"ruffle => tennis time, court rival skirt","ruffle => ruffle, tennis time, court rival skirt"
cosmetic,,,cosmetic => selfcare,"cosmetic => cosmetic, selfcare"
aqua,,,"aqua => teal, turquoise","aqua => aqua, teal, turquoise"
oval top access,,,oval top access => toiletry,"oval top access => oval top access, toiletry"
tee,,,tee => take,"tee => tee, take"
logo t,,,logo t => graphic shirt,"logo t => logo t, graphic shirt"
logo tee,,,logo tee => graphic shirt,"logo tee => logo tee, graphic shirt"
scoop neck,,,"scoop neck => swiftly racerback, cool racerback, ebb to street tank, love tank, scoop dress, wundermost","scoop neck => scoop neck, swiftly racerback, cool racerback, ebb to street tank, love tank, scoop dress, wundermost"
volleyball,,,"volleyball => athletic shorts, sports bra, headband","volleyball => volleyball, athletic shorts, sports bra, headband"
volley ball,,,"volley ball => athletic shorts, sports bra, headband","volley ball => volley ball, athletic shorts, sports bra, headband"
beach volleyball,,,"beach volleyball => athletic shorts, sports bra, headband","beach volleyball => beach volleyball, athletic shorts, sports bra, headband"
long shorts,,,"long shorts => 10, 11","long shorts => long shorts, 10, 11"
collar,,,"collar => collar, button down","collar => collar, collar, button down"
baby pink,,,"baby pink => peach satin, strawberry milkshake, dew pink, pink mist","baby pink => baby pink, peach satin, strawberry milkshake, dew pink, pink mist"
bathing suit,,,bathing suit => swim,"bathing suit => bathing suit, swim"
swimwear,,,swimwear => swim,"swimwear => swimwear, swim"
swimsuit,partial,product_customAttribute4,swimsuit => swim,"swimsuit => swimsuit, swim"
board short,full,product_customAttribute4,board short => swim trunk,"board short => board short, swim trunk"
men swim short,,,men swim short => swim trunk,"men swim short => men swim short, swim trunk"
logo waistband,,,"logo waistband => align leggings, wunder train leggings, invigorate leggings, astro pant, crisscross tight","logo waistband => logo waistband, align leggings, wunder train leggings, invigorate leggings, astro pant, crisscross tight"
still,,,still => wide leg,"still => still, wide leg"
effortless,,,effortless => women lightweight jacket,"effortless => effortless, women lightweight jacket"
card holder,,,"card holder => card case, logo pouch","card holder => card holder, card case, logo pouch"
cardholder,,,"cardholder => card case, logo pouch","cardholder => cardholder, card case, logo pouch"
athletic bag,,,"athletic bag => hiking bag, yoga bag, workout bag, running bag, golf bag, tennis bag, training bag","athletic bag => athletic bag, hiking bag, yoga bag, workout bag, running bag, golf bag, tennis bag, training bag"
mustard yellow,,,"mustard yellow => auric gold, soleil, spiced bronze, gold spice","mustard yellow => mustard yellow, auric gold, soleil, spiced bronze, gold spice"
mustard,,,"mustard => auric gold, soleil, spiced bronze, gold spice","mustard => mustard, auric gold, soleil, spiced bronze, gold spice"
paper,,,paper => shorts,"paper => paper, shorts"
at ease,full,collections,"at ease => textured double knit, ease","at ease => at ease, textured double knit, ease"
commission shorts,,,commission shorts => abc shorts,"commission shorts => commission shorts, abc shorts"
boatnecks,,,boatnecks => boatneck,"boatnecks => boatnecks, boatneck"
soccer shorts,,,soccer shorts => shorts,"soccer shorts => soccer shorts, shorts"
