Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
camo bike shorts,N,sku_colorCodeDesc(camo)/product_activity(bike)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,49,$88.00
hiking dress,N,product_activity(hiking)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),84,$276.00
leggings cheetah,N,parentCategory_displayName(leggings)/sku_colorCodeDesc(cheetah),,77,$0.00
mini dress,Y,product_topsLength_s(mini)/sku_colorCodeDesc(mini)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),59,$381.20
velvet dust tank,N,sku_colorCodeDesc(dust_velvet)/parentCategory_displayName(tank),,58,$346.00
align pocket leggings,N,collections(align)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket)/parentCategory_displayName(leggings),,79,"$2,231.00"
always in motion 5,Y,collections(5_always_in_motion)/product_customAttribute4(5)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),136,"$4,512.90"
love c,N,collections(love)/sku_colorCodeDesc(love)/sku_size(c),,105,$943.20
sonic blue,N,sku_colorCodeDesc(blue_sonic)/sku_colorGroup(blue),,98,$142.00
loungeful shorts,N,collections(loungeful)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,88,$164.00
leggings size 2,N,parentCategory_displayName(leggings)/sku_size(2_size)/product_inseam(2),PatternReplaceFilter(2),97,$933.00
light pink tank,N,sku_colorCodeDesc(light_pink)/sku_colorGroup(pink)/parentCategory_displayName(tank),,74,$258.00
long sleeve running shirt,Y,product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_activity(running)/product_customAttribute4(running_shirt),EnglishMinimalStemFilter(shirt),114,"$1,589.90"
we made too much shirt,N,parentCategory_displayName(made_much_shirt_too_we)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),51,$221.00
wunder under high,N,collections(under_wunder)/product_customAttribute4(high),,113,"$2,353.55"
zip sports bra,N,product_customAttribute4(bra_zip)/parentCategory_displayName(bra_sports),EnglishMinimalStemFilter(bra),76,$763.40
fast and free half tight,N,collections(fast_free_tight)/product_customAttribute4(and_half)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),90,"$1,602.65"
fast and free trail,N,collections(fast_free)/product_customAttribute4(and_trail),,101,"$1,781.30"
cargo leggings,N,product_customAttribute4(cargo)/parentCategory_displayName(leggings),,88,$730.00
17 crop,N,product_inseam(17)/product_topsLength_s(crop),PatternReplaceFilter(17)/PorterStemFilter(crop),62,$872.00
leggings size 8,N,parentCategory_displayName(leggings)/sku_size(8_size)/product_inseam(8),PatternReplaceFilter(8),56,"$1,278.00"
sunny coral leggings,N,sku_colorCodeDesc(coral_sunny)/parentCategory_displayName(leggings),,73,$177.00
the short 9,Y,product_activity(the)/collections(the)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/sku_size(9)/product_inseam(9),EnglishMinimalStemFilter(short)/PatternReplaceFilter(9),89,"$1,532.60"
yoga we made too much,N,product_activity(yoga)/product_customAttribute4(yoga)/parentCategory_displayName(made_much_too_we_yoga),,126,$847.90
black leggings size 8,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/parentCategory_displayName(leggings)/sku_size(8_size)/product_inseam(8),PatternReplaceFilter(8),56,$739.30
dance studio cropped pants,N,collections(dance_studio)/product_activity(dance)/product_topsLength_s(cropped)/product_customAttribute4(pants)/parentCategory_displayName(pants),,82,$402.00
heritage 365 camo medium olive multi,N,sku_colorCodeDesc(365_camo_heritage_medium_multi_olive)/sku_colorGroup_fr(olive)/sku_colorGroup(olive),,22,$69.00
like a cloud high,N,collections(a_cloud_like)/sku_size(a)/product_customAttribute4(high),,105,$780.75
size 8 leggings,N,sku_size(8_size)/product_inseam(8)/parentCategory_displayName(leggings),PatternReplaceFilter(8),89,"$1,375.00"
we made too much long sleeve,N,parentCategory_displayName(long_made_much_sleeve_too_we)/product_topsLength_s(long),,65,$127.00
like a cloud bra long line,N,collections(a_cloud_like)/sku_size(a)/parentCategory_displayName(bra_long)/product_customAttribute4(bra)/product_topsLength_s(long)/sku_colorCodeDesc(line),EnglishMinimalStemFilter(bra)/PorterStemFilter(line),21,$68.00
we made too much define,N,parentCategory_displayName(made_much_too_we)/collections(define),,83,$146.15
abc pants classic,N,collections(abc)/product_customAttribute4(pants)/parentCategory_displayName(pants)/sku_colorCodeDesc(classic),,73,"$2,457.60"
everywhere belt bag black and white,N,collections(everywhere)/product_customAttribute4(and_bag_belt)/parentCategory_displayName(bag)/sku_colorGroup(black_white)/sku_colorCodeDesc(black_white),EnglishMinimalStemFilter(bag),22,$76.00
run free,Y,collections(free_run)/product_activity(run)/product_customAttribute4(run),PorterStemFilter(run),79,$674.00
fast pace,N,collections(fast_pace)/sku_colorCodeDesc(pace),,69,$270.60
kelly green hotty hot,N,sku_colorCodeDesc(green_hot_kelly)/sku_colorGroup(green)/collections(hot_hotty),,74,$610.00
army print leggings,N,sku_colorCodeDesc(army_print)/sku_colorGroup(print)/parentCategory_displayName(leggings),PorterStemFilter(print),66,$98.00
kelly green polo,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/parentCategory_displayName(polo),,54,$69.00
chambray align,N,sku_colorCodeDesc(chambray)/collections(align),,63,$118.00
"license to train short 7""",Y,"collections(license_to_train)/product_activity(train)/product_customAttribute4(short_train)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_inseam(7"")",PorterStemFilter(train)/EnglishMinimalStemFilter(short),90,"$1,899.40"
long line like a cloud,N,product_topsLength_s(long)/parentCategory_displayName(long)/sku_colorCodeDesc(line)/collections(a_cloud_like)/sku_size(a),PorterStemFilter(line),73,$628.90
made too much men,N,parentCategory_displayName(made_much_too)/gender(men),,74,"$1,010.20"
on the fly joggers,N,product_activity(on_the)/collections(fly_on_the)/sku_size(on)/product_customAttribute4(on)/parentCategory_displayName(joggers),PorterStemFilter(on),66,$369.65
powder blue tops,N,sku_colorCodeDesc(blue_powder)/sku_colorGroup(blue)/parentCategory_displayName(tops)/product_customAttribute4(tops),,49,$826.00
scuba dark forest,N,collections(scuba)/sku_colorCodeDesc(dark_forest),,118,"$2,262.45"
size 0 bra,N,sku_size(0_size)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),52,$48.00
size 4 leggings,N,sku_size(4_size)/product_inseam(4)/parentCategory_displayName(leggings),PatternReplaceFilter(4),73,"$1,254.00"
solar orange scuba,N,sku_colorCodeDesc(orange_solar)/sku_colorGroup(orange)/collections(scuba),,58,$553.30
swiftly tech short sleev,N,collections(swiftly_tech)/product_topsLength_s(short)/parentCategory_displayName(short_sleev)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short)/PorterStemFilter(sleev),78,"$1,200.20"
wunder train short pocket,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(pocket_short_train)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(pocket_short),PorterStemFilter(train)/EnglishMinimalStemFilter(short),70,$666.00
28 align leggings,Y,sku_size(28)/product_inseam(28)/collections(align)/parentCategory_displayName(leggings),PatternReplaceFilter(28),72,$921.60
camo hotty hot shorts,N,sku_colorCodeDesc(camo_hot)/collections(hot_hotty)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,74,$39.00
fast and free capri,N,collections(fast_free)/product_customAttribute4(and)/parentCategory_displayName(capri),EnglishMinimalStemFilter(capri),72,"$1,085.60"
hotty hot we made too much,N,collections(hot_hotty)/sku_colorCodeDesc(hot)/parentCategory_displayName(made_much_too_we),,60,$154.05
high align,N,product_customAttribute4(high)/collections(align),,99,"$2,468.40"
lulu shoes,N,sku_colorCodeDesc(lulu)/parentCategory_displayName(shoes)/product_customAttribute4(shoes),,75,$404.00
invigorate training tank top,N,collections(invigorate)/product_activity(training)/product_customAttribute4(top_training)/parentCategory_displayName(tank_top),EnglishMinimalStemFilter(top),59,$186.90
kelly green shirts,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/parentCategory_displayName(shirts),,49,$447.00
light pink define jacket,N,sku_colorCodeDesc(light_pink)/sku_colorGroup(pink)/collections(define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),116,"$1,397.00"
lulu tank top,N,sku_colorCodeDesc(lulu)/parentCategory_displayName(tank_top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),76,$427.00
lululemon align pant 25,N,collections(align_lululemon)/parentCategory_displayName(lululemon_pant)/sku_colorCodeDesc(lululemon)/product_customAttribute4(pant)/sku_size(25)/product_inseam(25),EnglishMinimalStemFilter(pant)/PatternReplaceFilter(25),78,$702.30
pastel blue short,Y,sku_colorCodeDesc(blue_pastel_short)/sku_colorGroup(blue)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),16,$0.00
sports bra size 0,N,parentCategory_displayName(bra_sports)/product_customAttribute4(bra)/sku_size(0_size),EnglishMinimalStemFilter(bra),48,$106.00
we made too much align shorts,N,parentCategory_displayName(made_much_shorts_too_we)/collections(align)/product_customAttribute4(shorts),,20,$98.00
surge warm half,N,collections(surge)/sku_colorCodeDesc(warm)/product_customAttribute4(half),,137,"$2,976.55"
women down jacket,N,gender(women)/parentCategory_displayName(down_jacket_women)/product_customAttribute4(jacket),EnglishMinimalStemFilter(jacket),63,"$1,006.30"
align define jacket,N,collections(align_define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),73,$808.30
black tennis dress,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/product_activity(tennis)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),64,$271.00
cropped full zip scuba,N,product_topsLength_s(cropped)/sku_size(full)/product_customAttribute4(zip)/collections(scuba),,88,$354.00
shoes men,N,parentCategory_displayName(shoes)/product_customAttribute4(shoes)/gender(men),,111,$896.40
"fast and free 23""",N,"collections(fast_free)/product_customAttribute4(and)/product_inseam(23"")",,83,"$2,113.00"
lululemon logo,N,collections(lululemon)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(logo_lululemon),,100,$93.15
hot pink define jacket,N,sku_colorCodeDesc(hot_pink)/collections(define_hot)/sku_colorGroup(pink)/product_customAttribute4(jacket)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),68,$0.00
crossbody nano,N,product_customAttribute4(crossbody)/sku_colorCodeDesc(nano),,58,$252.00
men long sleeve shirt,Y,gender(men)/product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),85,"$1,335.65"
powder blue pants,N,sku_colorCodeDesc(blue_powder)/sku_colorGroup(blue)/product_customAttribute4(pants)/parentCategory_displayName(pants),,60,$404.00
we made to much hotty hot,N,parentCategory_displayName(made_much_we)/collections(hot_hotty_to)/sku_colorCodeDesc(hot),,40,$68.00
velvet dust sports bra,N,sku_colorCodeDesc(dust_velvet)/parentCategory_displayName(bra_sports)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),47,$193.40
wunder under train shorts,N,collections(train_under_wunder)/product_activity(train)/product_customAttribute4(shorts_train)/parentCategory_displayName(shorts),PorterStemFilter(train),49,$560.50
align leggings poolside,N,collections(align)/parentCategory_displayName(leggings)/sku_colorCodeDesc(poolside),,44,$98.00
cyan blue short,Y,sku_colorCodeDesc(blue_cyan_short)/sku_colorGroup(blue)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),62,$784.90
full zip crop,N,sku_size(full)/product_customAttribute4(zip)/product_topsLength_s(crop),PorterStemFilter(crop),89,"$1,703.00"
lululemon yoga mat,N,collections(lululemon)/parentCategory_displayName(lululemon_mat_yoga)/sku_colorCodeDesc(lululemon)/product_activity(yoga)/product_customAttribute4(mat_yoga),EnglishMinimalStemFilter(mat),50,$452.30
oversized scuba full zip,N,collections(oversized_scuba)/sku_size(full)/product_customAttribute4(zip),,99,"$1,453.00"
swiftly tech poolside,N,collections(swiftly_tech)/sku_colorCodeDesc(poolside),,83,$403.80
twilight rose align,N,sku_colorCodeDesc(rose_twilight)/sku_colorGroup_fr(rose)/collections(align),,70,$199.50
we made too much bags,N,parentCategory_displayName(bags_made_much_too_we)/product_customAttribute4(bags),,93,$653.40
25 hotty hot shorts,N,sku_size(25)/product_inseam(25)/collections(hot_hotty)/sku_colorCodeDesc(hot)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),PatternReplaceFilter(25),67,$476.00
black align 25,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/collections(align)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),114,"$3,554.10"
bright blue leggings,N,sku_colorCodeDesc(blue_bright)/sku_colorGroup(blue)/parentCategory_displayName(leggings),,58,$158.00
fast and free women shorts,N,collections(fast_free)/product_customAttribute4(and_shorts)/gender(women)/parentCategory_displayName(shorts_women),,58,$468.00
cropped sweatpants,N,product_topsLength_s(cropped)/parentCategory_displayName(sweatpants),,95,"$1,310.30"
speed tight,Y,collections(speed_tight)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),92,$892.00
instill tight,Y,collections(instill_tight)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),71,$357.00
mango dream swiftly,N,sku_colorCodeDesc(dream_mango)/collections(swiftly),,65,$246.90
we made too much women shorts,N,parentCategory_displayName(made_much_shorts_too_we_women)/gender(women)/product_customAttribute4(shorts),,20,$78.00
speed up lined,N,collections(speed_up)/product_customAttribute4(up)/sku_colorCodeDesc(lined),,86,"$1,576.85"
we made to much bra,N,parentCategory_displayName(bra_made_much_we)/collections(to)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),56,$107.00
black shirt men,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/product_customAttribute4(shirt)/parentCategory_displayName(shirt)/gender(men),EnglishMinimalStemFilter(shirt),78,"$1,212.20"
cyan blue tops,N,sku_colorCodeDesc(blue_cyan)/sku_colorGroup(blue)/parentCategory_displayName(tops)/product_customAttribute4(tops),,42,$320.00
dark blue shirt,N,sku_colorCodeDesc(blue_dark)/sku_colorGroup(blue)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),71,$0.00
groove s,N,collections(groove)/sku_size(s),,126,"$2,494.90"
crop 19,N,product_topsLength_s(crop)/product_inseam(19),PorterStemFilter(crop)/PatternReplaceFilter(19),77,$961.65
instill high,N,collections(instill)/product_customAttribute4(high),,75,"$1,377.65"
align 26,N,collections(align)/sku_size(26)/product_inseam(26),PatternReplaceFilter(26),68,"$1,160.00"
meadowsweet pink scuba,N,sku_colorCodeDesc(meadowsweet_pink)/sku_colorGroup(pink)/collections(scuba),,97,"$1,369.50"
neon yellow shirt,N,sku_colorGroup(neon_yellow)/sku_colorCodeDesc(yellow)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),50,$203.05
on the fly short,Y,product_activity(on_the)/collections(fly_on_the)/sku_size(on)/product_customAttribute4(on_short)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),PorterStemFilter(on)/EnglishMinimalStemFilter(short),68,$164.80
rose gold belt bag,N,sku_colorGroup_fr(rose)/sku_colorCodeDesc(gold_rose)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),75,$410.00
free to be bra wild long line,N,collections(be_free_to)/parentCategory_displayName(bra_long)/product_customAttribute4(bra)/sku_colorCodeDesc(line_wild)/product_topsLength_s(long),EnglishMinimalStemFilter(bra)/PorterStemFilter(line),19,$58.00
city crossbody,N,collections(city)/product_customAttribute4(crossbody),,91,$565.50
23 crop,N,product_inseam(23)/product_topsLength_s(crop),PatternReplaceFilter(23)/PorterStemFilter(crop),82,"$1,286.15"
sport dress,N,sku_colorCodeDesc(sport)/parentCategory_displayName(dress_sport)/product_customAttribute4(dress),EnglishMinimalStemFilter(sport)/EnglishMinimalStemFilter/PorterStemFilter(dress),60,$0.00
lined short men,N,sku_colorCodeDesc(lined_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short)/gender(men),EnglishMinimalStemFilter(short),44,$824.60
long sleeve shirt men,Y,product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt)/gender(men),EnglishMinimalStemFilter(shirt),98,"$1,773.80"
long sleeve white shirt,Y,product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/sku_colorGroup(white)/sku_colorCodeDesc(white)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),84,"$1,673.30"
lululemon black leggings,N,collections(lululemon)/parentCategory_displayName(leggings_lululemon)/sku_colorCodeDesc(black_lululemon)/sku_colorGroup(black),,64,$314.00
pink peony swiftly,N,sku_colorCodeDesc(peony_pink)/sku_colorGroup(pink)/collections(swiftly),,67,$244.00
short sleeve align,N,product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short)/collections(align),EnglishMinimalStemFilter(short),82,$29.00
time to sweat,N,collections(sweat_time_to)/product_customAttribute4(sweat),EnglishMinimalStemFilter(time),67,$118.00
black gold bag,N,sku_colorGroup(black)/sku_colorCodeDesc(black_gold)/parentCategory_displayName(bag)/product_customAttribute4(bag),EnglishMinimalStemFilter(bag),70,$792.50
ebb to street cropped racerback,N,collections(ebb_racerback_street_to)/product_topsLength_s(cropped)/product_customAttribute4(racerback),,120,"$1,843.20"
align bra we made too much,N,collections(align)/parentCategory_displayName(bra_made_much_too_we)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),19,$44.00
full zip up,N,sku_size(full)/product_customAttribute4(up_zip)/collections(up),,86,"$1,014.00"
abc twill,N,collections(abc)/sku_colorCodeDesc(twill),,100,"$2,162.65"
trail short,N,product_customAttribute4(short_trail)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(short),68,$373.20
orange skirts,N,sku_colorGroup(orange)/sku_colorCodeDesc(orange)/parentCategory_displayName(skirts)/product_customAttribute4(skirts),,61,$216.00
align mango,N,collections(align)/sku_colorCodeDesc(mango),,55,$492.40
pink peony swiftly tech,N,sku_colorCodeDesc(peony_pink)/sku_colorGroup(pink)/collections(swiftly_tech),,58,$45.90
running shirt women,Y,product_activity(running)/product_customAttribute4(running_shirt)/parentCategory_displayName(shirt_women)/gender(women),EnglishMinimalStemFilter(shirt),65,$339.65
sonic pink long sleeve,N,sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,108,$790.55
speed up lined short,N,collections(speed_up)/product_customAttribute4(short_up)/sku_colorCodeDesc(lined_short)/product_topsLength_s(short)/parentCategory_displayName(short),EnglishMinimalStemFilter(short),62,$816.80
white lulu shorts,N,sku_colorGroup(white)/sku_colorCodeDesc(lulu_white)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,64,$272.00
wunder train 31,Y,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_size(31)/product_inseam(31),PorterStemFilter(train)/PatternReplaceFilter(31),79,$490.00
always in motion 7,Y,collections(always_in_motion)/sku_size(7)/product_inseam(7),PatternReplaceFilter(7),102,"$3,375.85"
belt bag 2 l,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_size(2_l)/product_inseam(2),EnglishMinimalStemFilter(bag)/PatternReplaceFilter(2),64,$452.80
camo align tank,N,sku_colorCodeDesc(camo)/collections(align)/parentCategory_displayName(tank),,77,$0.00
commission classic 30,N,collections(commission)/sku_colorCodeDesc(classic_commission)/sku_size(30)/product_inseam(30),PatternReplaceFilter(30),52,$492.80
ebb to street racerback,N,collections(ebb_racerback_street_to)/product_customAttribute4(racerback),,81,$552.60
leggings short,N,parentCategory_displayName(leggings_short)/product_topsLength_s(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),93,$905.00
leggings we made to much,N,parentCategory_displayName(leggings_made_much_we)/collections(to),,34,$97.65
belt at,N,product_customAttribute4(belt)/collections(at),,57,$162.00
lulu sports bra,N,sku_colorCodeDesc(lulu)/parentCategory_displayName(bra_sports)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),67,$414.00
marble dye leggings,N,sku_colorCodeDesc(dye_marble)/parentCategory_displayName(leggings),,54,$314.65
sage green leggings,N,sku_colorCodeDesc(green_sage)/sku_colorGroup(green)/parentCategory_displayName(leggings),,51,$177.00
velvet dust short,Y,sku_colorCodeDesc(dust_short_velvet)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),47,$83.30
city belt bag,N,collections(city)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),81,$806.60
commission pants classic,N,collections(commission)/sku_colorCodeDesc(classic_commission)/product_customAttribute4(pants)/parentCategory_displayName(pants),,49,$512.95
"commission short 7""",Y,"collections(commission)/sku_colorCodeDesc(commission_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short)/product_inseam(7"")",EnglishMinimalStemFilter(short),87,"$1,817.20"
fast and free bra,N,collections(fast_free)/product_customAttribute4(and_bra)/parentCategory_displayName(bra),EnglishMinimalStemFilter(bra),84,$280.80
always e,N,collections(always)/sku_size(e),,94,"$1,762.15"
align f,N,collections(align)/sku_size(f),,90,$602.30
kelly green align tank,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/collections(align)/parentCategory_displayName(tank),,78,$341.00
train times,Y,collections(times_train)/product_activity(train)/product_customAttribute4(train),PorterStemFilter(train),65,$442.00
lulu long sleeve,N,sku_colorCodeDesc(lulu)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,71,$465.40
men workout shirt,Y,gender(men)/product_activity(workout)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),82,"$1,555.00"
pipe dream blue leggings,N,sku_colorCodeDesc(blue_dream_pipe)/sku_colorGroup(blue)/parentCategory_displayName(leggings),,91,"$1,193.10"
radiate foil print french press,N,sku_colorCodeDesc(foil_french_press_print_radiate)/sku_colorGroup(print),PorterStemFilter(print),82,$473.00
swiftly tech long sleev,N,collections(swiftly_tech)/product_topsLength_s(long)/parentCategory_displayName(long_sleev),PorterStemFilter(sleev),94,"$1,345.50"
we made too much socks,N,parentCategory_displayName(made_much_socks_too_we)/product_customAttribute4(socks),,71,$361.10
women swim shorts,N,gender(women)/parentCategory_displayName(shorts_swim_women)/product_activity(swim)/product_customAttribute4(shorts),,45,$68.00
define jacket sonic pink,N,collections(define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket)/sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink),EnglishMinimalStemFilter(jacket),82,$572.00
grey define,N,sku_colorGroup(grey)/sku_colorCodeDesc(grey)/collections(define),,116,$395.00
fast and free crop 23,N,collections(fast_free)/product_customAttribute4(and)/product_topsLength_s(crop)/product_inseam(23),PorterStemFilter(crop)/PatternReplaceFilter(23),62,"$1,506.80"
lab luxtreme,N,collections(lab)/sku_colorCodeDesc(luxtreme),,76,"$1,123.30"
"hotty hot 2""",N,"collections(hot_hotty)/sku_colorCodeDesc(hot)/product_inseam(2"")",,57,$221.00
shorts lined,N,product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_colorCodeDesc(lined),,59,$789.20
love crew long,N,collections(love)/sku_colorCodeDesc(love)/product_customAttribute4(crew)/product_topsLength_s(long)/parentCategory_displayName(long),,108,"$1,409.40"
lululemon camo leggings,N,collections(lululemon)/parentCategory_displayName(leggings_lululemon)/sku_colorCodeDesc(camo_lululemon),,60,$0.00
medium forest align,N,sku_colorCodeDesc(forest_medium)/collections(align),,80,$397.80
mint swiftly tech,N,sku_colorCodeDesc(mint)/collections(swiftly_tech),,78,$117.00
all bras,N,collections(all)/parentCategory_displayName(bras)/product_customAttribute4(bras),,37,$255.00
short sleeve swift,N,product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short)/collections(swift),EnglishMinimalStemFilter(short),69,$476.00
surge lined short 6,N,collections(surge)/sku_colorCodeDesc(lined_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short)/sku_size(6)/product_inseam(6),EnglishMinimalStemFilter(short)/PatternReplaceFilter(6),149,"$3,430.10"
white tennis shirt,Y,sku_colorGroup(white)/sku_colorCodeDesc(white)/product_activity(tennis)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),62,$750.00
we made too much align tank,N,parentCategory_displayName(made_much_tank_too_we)/collections(align),,124,$376.00
"commission golf short 10""",N,"collections(commission)/sku_colorCodeDesc(commission_short)/product_activity(golf)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short)/product_inseam(10"")",EnglishMinimalStemFilter(short),106,"$2,721.60"
scuba f,N,collections(scuba)/sku_size(f),,104,"$2,055.50"
blue le,N,sku_colorGroup(blue)/sku_colorCodeDesc(blue_le),,76,$226.00
city crew,N,collections(city)/product_customAttribute4(crew),,71,$419.00
long yoga mat,N,product_topsLength_s(long)/parentCategory_displayName(long_mat_yoga)/product_activity(yoga)/product_customAttribute4(mat_yoga),EnglishMinimalStemFilter(mat),68,$744.00
lululemon align joggers,N,collections(align_lululemon)/parentCategory_displayName(joggers_lululemon)/sku_colorCodeDesc(lululemon),,96,"$1,467.65"
run speed shorts,Y,collections(run_speed)/product_activity(run)/product_customAttribute4(run_shorts)/parentCategory_displayName(shorts),PorterStemFilter(run),41,$68.00
sonic blue shorts,N,sku_colorCodeDesc(blue_sonic)/sku_colorGroup(blue)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,48,$68.00
abc classic 32,N,collections(abc)/sku_colorCodeDesc(classic)/sku_size(32)/product_inseam(32),PatternReplaceFilter(32),92,"$2,611.20"
cyan blue align tank,N,sku_colorCodeDesc(blue_cyan)/sku_colorGroup(blue)/collections(align)/parentCategory_displayName(tank),,61,$98.00
hawaiian blue shorts,N,sku_colorCodeDesc(blue_hawaiian)/sku_colorGroup(blue)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,50,$0.00
crossbody bay,N,product_customAttribute4(crossbody)/sku_colorCodeDesc(bay),,78,$454.20
sleeve shirt,Y,parentCategory_displayName(shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),78,$792.80
white leopard,N,sku_colorGroup(white)/sku_colorCodeDesc(leopard_white),,69,$331.45
align chambray,N,collections(align)/sku_colorCodeDesc(chambray),,60,$554.00
powder blue swiftly,N,sku_colorCodeDesc(blue_powder)/sku_colorGroup(blue)/collections(swiftly),,62,$416.40
velvet dust pants,N,sku_colorCodeDesc(dust_velvet)/product_customAttribute4(pants)/parentCategory_displayName(pants),,55,$755.00
wunder train chambray,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_colorCodeDesc(chambray),PorterStemFilter(train),36,$54.00
align 23 pocket,N,collections(align)/product_inseam(23)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),PatternReplaceFilter(23),75,"$1,128.15"
align crop pocket,N,collections(align)/product_topsLength_s(crop)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),PorterStemFilter(crop),64,"$1,230.00"
align pink peony,N,collections(align)/sku_colorCodeDesc(peony_pink)/sku_colorGroup(pink),,62,$648.00
