Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
full zip scuba,N,sku_size(full)/product_customAttribute4(zip)/collections(scuba),,7728,"$105,103.90"
hotty hot 25,N,collections(hot_hotty)/sku_colorCodeDesc(hot)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),10123,"$140,341.90"
leggings black camo,N,parentCategory_displayName(leggings)/sku_colorGroup(black)/sku_colorCodeDesc(black_camo),,3957,"$21,871.85"
golf shirt,Y,product_activity(golf)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),4986,"$52,682.55"
cropped shirt,Y,product_topsLength_s(cropped)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),4728,"$20,507.05"
align shirt,Y,collections(align)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),4822,"$11,493.00"
polo shirt,Y,parentCategory_displayName(polo_shirt)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),4560,"$50,251.40"
wunder train contour,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_colorCodeDesc(contour),PorterStemFilter(train),5806,"$81,059.35"
pace breaker 7,Y,collections(breaker_pace)/sku_colorCodeDesc(pace)/sku_size(7)/product_inseam(7),PatternReplaceFilter(7),5019,"$83,281.50"
love crewneck,N,collections(love)/sku_colorCodeDesc(love)/product_customAttribute4(crewneck),,4978,"$40,455.25"
"bowline short 5""",Y,"collections(bowline)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/product_inseam(5"")",EnglishMinimalStemFilter(short),4150,"$53,954.10"
abc classic,N,collections(abc)/sku_colorCodeDesc(classic),,6575,"$274,575.35"
license to train shirt,Y,collections(license_to_train)/product_activity(train)/product_customAttribute4(shirt_train)/parentCategory_displayName(shirt),PorterStemFilter(train)/EnglishMinimalStemFilter(shirt),8271,"$195,323.90"
lululemon align bodysuit,N,collections(align_lululemon)/parentCategory_displayName(bodysuit_lululemon)/sku_colorCodeDesc(lululemon),EnglishMinimalStemFilter(bodysuit),3358,"$28,153.45"
mini backpacks,N,product_topsLength_s(mini)/sku_colorCodeDesc(mini)/product_customAttribute4(backpacks),,3815,"$10,269.95"
grey shirt,Y,sku_colorGroup(grey)/sku_colorCodeDesc(grey)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),4675,"$12,894.70"
"align short 6""",Y,"collections(align)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/product_inseam(6"")",EnglishMinimalStemFilter(short),3033,"$17,359.40"
white shirt,Y,sku_colorGroup(white)/sku_colorCodeDesc(white)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),4479,"$31,291.00"
swiftly tech shirt,N,collections(swiftly_tech)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),3990,"$27,273.65"
align pocket,N,collections(align)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),,4253,"$78,633.00"
swiftly tech short,N,collections(swiftly_tech)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),5129,"$94,941.37"
black shirt,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),3983,"$18,568.90"
speed up 25,N,collections(speed_up)/product_customAttribute4(up)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),5565,"$65,407.65"
commission classic,N,collections(commission)/sku_colorCodeDesc(classic_commission),,3020,"$58,943.85"
hotty hot high,N,collections(hot_hotty)/sku_colorCodeDesc(hot)/product_customAttribute4(high),,4065,"$41,020.57"
train to be short sleeve,N,collections(be_to_train)/product_activity(train)/product_customAttribute4(short_train)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short),PorterStemFilter(train)/EnglishMinimalStemFilter(short),2856,"$42,327.28"
scuba oversized full zip,N,collections(oversized_scuba)/sku_size(full)/product_customAttribute4(zip),,8968,"$324,009.90"
25 speed up,N,sku_size(25)/product_inseam(25)/collections(speed_up)/product_customAttribute4(up),PatternReplaceFilter(25),3738,"$28,393.50"
cropped pants,N,product_topsLength_s(cropped)/product_customAttribute4(pants)/parentCategory_displayName(pants),,2757,"$38,973.70"
